From_Month,To_Month,Retention_Rate
2003-07,2003-08,14.2857
2003-09,2003-10,12.5000
2003-09,2003-11,37.5000
2003-10,2003-11,5.8824
2003-10,2003-12,5.8824
2003-11,2004-01,6.8966
2003-12,2004-01,25.0000
2004-03,2004-05,25.0000
2004-04,2004-06,30.0000
2004-05,2004-06,25.0000
2004-06,2004-08,8.3333
2004-07,2004-08,9.0909
2004-08,2004-09,8.3333
2004-08,2004-10,8.3333
2004-09,2004-11,8.3333
2004-10,2004-11,7.6923
2004-10,2004-12,15.3846
2004-11,2005-01,6.6667
2004-12,2005-01,9.0909
2005-01,2005-02,9.0909
2005-01,2005-03,18.1818
2005-02,2005-03,28.5714
2005-03,2005-05,9.0909
